PIF Table: 

Token      ST Entry

START      -1   
int        -1   
=          -1   
int        -1   
id         0    
=          -1   
int        -1   
id         1    
=          -1   
const      2    
const      3    
id         4    
=          -1   
input      -1   
(          -1   
)          -1   
id         0    
=          -1   
input      -1   
(          -1   
)          -1   
while      -1   
(          -1   
id         0    
!=         -1   
const      5    
)          -1   
{          -1   
id         1    
=          -1   
id         4    
id         0    
id         4    
=          -1   
id         0    
id         0    
=          -1   
id         1    
}          -1   
print      -1   
(          -1   
id         4    
)          -1   
END        -1   
